Lat(y);Long(x);PGA
-21.000;15.750;0.0001
-35.000;16.000;0.0273
-34.750;16.000;0.0298
-34.500;16.000;0.0310
-34.250;16.000;0.0309
-34.000;16.000;0.0322
-33.750;16.000;0.0308
-33.500;16.000;0.0301
-33.250;16.000;0.0235
-33.000;16.000;0.0234
-32.750;16.000;0.0207
-32.500;16.000;0.0198
-32.250;16.000;0.0190
-32.000;16.000;0.0176
-31.750;16.000;0.0171
-31.500;16.000;0.0170
-31.250;16.000;0.0203
-31.000;16.000;0.0203
-30.750;16.000;0.0198
-30.500;16.000;0.0202
-30.250;16.000;0.0213
-30.000;16.000;0.0217
-29.750;16.000;0.0280
-29.500;16.000;0.0264
-29.250;16.000;0.0233
-29.000;16.000;0.0218
-28.750;16.000;0.0206
-28.500;16.000;0.0201
-28.250;16.000;0.0196
-28.000;16.000;0.0191
-27.750;16.000;0.0178
-27.500;16.000;0.0170
-27.250;16.000;0.0157
-27.000;16.000;0.0138
-26.750;16.000;0.0109
-26.500;16.000;0.0108
-26.250;16.000;0.0108
-26.000;16.000;0.0108
-25.750;16.000;0.0109
-25.500;16.000;0.0109
-25.250;16.000;0.0108
-25.000;16.000;0.0107
-24.750;16.000;0.0103
-24.500;16.000;0.0097
-24.250;16.000;0.0103
-24.000;16.000;0.0102
-23.750;16.000;0.0157
-23.500;16.000;0.0144
-23.250;16.000;0.0120
-23.000;16.000;0.0094
-22.750;16.000;0.0094
-22.500;16.000;0.0001
-22.250;16.000;0.0001
-22.000;16.000;0.0001
-21.750;16.000;0.0001
-21.500;16.000;0.0001
-21.250;16.000;0.0001
-21.000;16.000;0.0001
-35.000;16.250;0.0274
-34.750;16.250;0.0298
-34.500;16.250;0.0311
-34.250;16.250;0.0309
-34.000;16.250;0.0322
-33.750;16.250;0.0309
-33.500;16.250;0.0302
-33.250;16.250;0.0258
-33.000;16.250;0.0235
-32.750;16.250;0.0207
-32.500;16.250;0.0199
-32.250;16.250;0.0191
-32.000;16.250;0.0178
-31.750;16.250;0.0176
-31.500;16.250;0.0178
-31.250;16.250;0.0204
-31.000;16.250;0.0204
-30.750;16.250;0.0207
-30.500;16.250;0.0203
-30.250;16.250;0.0209
-30.000;16.250;0.0305
-29.750;16.250;0.0318
-29.500;16.250;0.0287
-29.250;16.250;0.0270
-29.000;16.250;0.0251
-28.750;16.250;0.0244
-28.500;16.250;0.0229
-28.250;16.250;0.0218
-28.000;16.250;0.0207
-27.750;16.250;0.0198
-27.500;16.250;0.0187
-27.250;16.250;0.0180
-27.000;16.250;0.0155
-26.750;16.250;0.0110
-26.500;16.250;0.0108
-26.250;16.250;0.0108
-26.000;16.250;0.0108
-25.750;16.250;0.0108
-25.500;16.250;0.0108
-25.250;16.250;0.0108
-25.000;16.250;0.0107
-24.750;16.250;0.0113
-24.500;16.250;0.0111
-24.250;16.250;0.0108
-24.000;16.250;0.0183
-23.750;16.250;0.0177
-23.500;16.250;0.0167
-23.250;16.250;0.0157
-23.000;16.250;0.0141
-22.750;16.250;0.0100
-22.500;16.250;0.0027
-22.250;16.250;0.0001
-22.000;16.250;0.0001
-21.750;16.250;0.0001
-21.500;16.250;0.0001
-21.250;16.250;0.0001
-21.000;16.250;0.0001
-35.000;16.500;0.0274
-34.750;16.500;0.0298
-34.500;16.500;0.0311
-34.250;16.500;0.0360
-34.000;16.500;0.0390
-33.750;16.500;0.0374
-33.500;16.500;0.0308
-33.250;16.500;0.0298
-33.000;16.500;0.0275
-32.750;16.500;0.0256
-32.500;16.500;0.0238
-32.250;16.500;0.0208
-32.000;16.500;0.0201
-31.750;16.500;0.0191
-31.500;16.500;0.0188
-31.250;16.500;0.0205
-31.000;16.500;0.0226
-30.750;16.500;0.0248
-30.500;16.500;0.0259
-30.250;16.500;0.0303
-30.000;16.500;0.0310
-29.750;16.500;0.0303
-29.500;16.500;0.0294
-29.250;16.500;0.0278
-29.000;16.500;0.0272
-28.750;16.500;0.0264
-28.500;16.500;0.0259
-28.250;16.500;0.0250
-28.000;16.500;0.0247
-27.750;16.500;0.0217
-27.500;16.500;0.0202
-27.250;16.500;0.0192
-27.000;16.500;0.0185
-26.750;16.500;0.0151
-26.500;16.500;0.0110
-26.250;16.500;0.0110
-26.000;16.500;0.0110
-25.750;16.500;0.0112
-25.500;16.500;0.0121
-25.250;16.500;0.0110
-25.000;16.500;0.0202
-24.750;16.500;0.0217
-24.500;16.500;0.0121
-24.250;16.500;0.0109
-24.000;16.500;0.0193
-23.750;16.500;0.0192
-23.500;16.500;0.0184
-23.250;16.500;0.0174
-23.000;16.500;0.0164
-22.750;16.500;0.0132
-22.500;16.500;0.0106
-22.250;16.500;0.0065
-22.000;16.500;0.0001
-21.750;16.500;0.0001
-21.500;16.500;0.0001
-21.250;16.500;0.0001
-21.000;16.500;0.0001
-35.000;16.750;0.0292
-34.750;16.750;0.0339
-34.500;16.750;0.0485
-34.250;16.750;0.0614
-34.000;16.750;0.0749
-33.750;16.750;0.0636
-33.500;16.750;0.0438
-33.250;16.750;0.0354
-33.000;16.750;0.0298
-32.750;16.750;0.0283
-32.500;16.750;0.0260
-32.250;16.750;0.0238
-32.000;16.750;0.0207
-31.750;16.750;0.0202
-31.500;16.750;0.0207
-31.250;16.750;0.0248
-31.000;16.750;0.0287
-30.750;16.750;0.0288
-30.500;16.750;0.0295
-30.250;16.750;0.0329
-30.000;16.750;0.0347
-29.750;16.750;0.0345
-29.500;16.750;0.0308
-29.250;16.750;0.0297
-29.000;16.750;0.0286
-28.750;16.750;0.0277
-28.500;16.750;0.0267
-28.250;16.750;0.0262
-28.000;16.750;0.0251
-27.750;16.750;0.0235
-27.500;16.750;0.0199
-27.250;16.750;0.0192
-27.000;16.750;0.0182
-26.750;16.750;0.0157
-26.500;16.750;0.0111
-26.250;16.750;0.0111
-26.000;16.750;0.0113
-25.750;16.750;0.0119
-25.500;16.750;0.0181
-25.250;16.750;0.0284
-25.000;16.750;0.0304
-24.750;16.750;0.0195
-24.500;16.750;0.0128
