ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;EVENT_VALIDITY;PRIMARY_MAGNITUDE;Lat(y);Long(x);REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV
1031;1871;12;28;;;;2;;-41.5;-73;89;;;;0.5
3159;1731;3;20;;;;2;;41.51;15.5;50;;;;4
3218;1806;8;26;1;2;;2;;41.7;12.7;50;;;;2
3408;1895;11;1;;;;1;;41.7;12.2;50;;;;3
1818;1952;3;9;1;4;0;4;7;41.7;143.6;85;0.3;;-;-2
3128;1627;7;30;1;5;;4;6.7;41.733;15.35;50;;;;5
1618;1929;6;16;2;4;3;2;7.5;-41.75;172.25;81;2.5;;1;1.5
1933;1962;5;21;1;2;;2;5.7;41.8;142.4;85;0.1;;;-2
246;1633;5;14;;;;3;;-41.8;-73.8;89;;;1;1.5
1405;1913;2;22;1;6;;3;6.8;-41.8;171.5;81;1.5;;0;0.5
3427;258;;;;;;0;;41.9;12.45;50;;;;4
760;1848;10;15;1;1;;1;7.9;-41.9;173.6;81;0.3;;-;0.5
253;1640;7;31;;;;4;6.5;42.07;140.68;85;;;2;1
2113;1979;4;15;6;1;4;4;6.9;42.096;19.209;50;0.6;;;1
1817;1952;3;4;1;2;4;4;8.1;42.15;143.85;85;6.54;;2;2
1930;1962;4;23;5;5;0;4;7;42.2;143.9;85;0.1;;-;-3.5
3143;1703;2;2;2;1;5;0;6.7;42.467;13.2;50;;;;3
713;1839;5;1;;;;1;7.3;42.5;145;85;;;1;1
1204;1893;6;13;;;;4;6.9;42.5;145.5;85;;;;1
1208;1894;3;22;1;2;;4;7.9;42.5;146;85;4;;2;1.5
708;1837;11;7;1;5;;4;8.5;-42.5;-74;89;6;;3;3
297;1667;4;6;7;1;;2;7.2;42.6;18.1;50;;;;4
735;1843;9;14;1;3;;2;6.5;42.6;18.1;50;;;;4
1927;1961;11;15;7;1;0;4;6.9;42.7;145.7;85;0.1;;-;-3.5
2219;1993;7;12;1;1;1;4;7.7;42.851;139.197;85;32;;5;3.1
1924;1961;8;11;1;5;0;4;7;42.9;145.6;85;0.1;;-;-4
2075;1975;6;10;1;4;1;4;7;43.024;147.734;86;5.5;;2;2
3455;1870;7;29;;;;2;;43.03;16.15;50;;;;3
1913;1961;2;12;2;5;0;4;6.6;43.2;147.9;86;1;;;-0.5
2060;1973;6;17;3;5;2;4;7.7;43.2;145.8;85;5.96;;2;1
2067;1974;9;27;5;4;2;4;6.7;43.2;146.7;86;0.37;;0;-1
684;1834;2;9;1;;;4;6.4;43.3;141.4;85;;;2;1
3324;1846;12;3;;;;2;;43.3;10.7;50;;;;3
1125;1881;10;25;;;;2;7;43.3;147.3;85;;;;1.5
1203;1893;6;4;2;2;0;4;7;43.3;147.5;86;3;;1;1.5
738;1844;3;22;1;1;;2;;43.4;16.7;50;;;;2
3313;1846;8;14;1;3;;3;6.1;43.4;10.6;50;;;;3
3161;1742;1;16;;;;4;;43.5;10.2;50;;;;3
569;1792;6;13;;;;4;6.9;43.5;140.6;85;;;1;1
3314;1846;8;26;1;2;;3;;43.5;10.5;50;;;;4
3416;1914;1;15;4;2;;1;;43.5;10.2;50;;;;2
2123;1980;2;23;5;5;3;4;7;43.53;146.753;86;0.6;;-;-2
3133;1646;4;5;2;;;4;5.2;43.55;10.317;50;;;;3
1996;1968;1;29;1;1;7;4;7.3;43.586;146.701;86;0.18;;-;-1
2015;1969;8;11;2;2;3;4;8.2;43.6;147.9;86;5;;1;2
4223;1930;10;30;7;1;1;4;5.9;43.667;13.267;50;;;;4
3268;1819;1;8;1;3;;2;;43.7;8;50;;;;3
3462;1887;2;23;6;2;;3;;43.7;8.1;50;2;;;3
3409;1896;10;16;6;1;;1;;43.7;8.1;50;;;;2
3372;1851;7;28;1;3;;1;4.1;43.75;10.3;50;;;;2
2230;1994;10;4;1;2;5;4;8.3;43.773;147.321;86;10.4;;2;2.6
3166;1751;11;21;9;4;;2;;43.8;9;50;;;;3
3289;1826;3;18;0;2;;2;;43.8;13;50;;;;3
3291;1831;5;26;1;3;;2;;43.8;7.8;50;;;;3
1776;1947;11;4;0;9;1;4;7;43.8;141;85;2;;1;1
2303;1970;12;4;1;5;2;4;5.1;43.84;39.34;40;0.8;;;2
2232;1994;10;9;7;5;3;4;7.3;43.905;147.916;86;0.2;;-;-3
3224;1818;2;23;1;1;;2;5.6;43.917;8.033;50;;;;3
3136;1672;4;14;1;4;;4;5.6;43.933;12.583;50;;;;3
1544;1924;7;19;;;;1;;-43.95;-176.567;81;;;;1
3811;1916;8;16;7;6;;4;5.9;43.967;12.667;50;;;;2
3122;1564;7;20;;;;4;5.8;44.017;7.283;50;;;;4
2097;1978;3;22;0;5;3;4;6.7;44.026;149.002;86;0.07;;0;-2.5
3798;1968;4;18;1;3;1;4;4.6;44.08;8;50;3;;;2
2153;1984;3;24;9;4;2;4;7.2;44.117;148.192;86;0.2;;-;-2
2569;1978;3;22;2;3;3;4;6.6;44.14;149.029;86;0.05;;;-3
3453;1875;3;18;1;0;5;4;;44.2;12.4;50;;;;4
1741;1940;8;1;1;8;2;4;7.5;44.2;139.5;85;3.5;;1;1.5
1885;1958;11;12;2;2;;2;7;44.2;148.8;86;1;;;-1
2099;1978;3;23;0;3;2;4;6.8;44.209;148.971;86;0.17;;-;-1.5
2103;1978;3;24;1;4;5;4;7.6;44.244;148.862;86;0.65;;-;0
1855;1956;3;5;2;2;;4;6.3;44.3;144.1;85;0.4;;-;-2
1889;1959;4;9;1;2;2;2;5;44.3;149;86;0.1;;-;-2
3144;1703;7;2;;;;2;3.2;44.4;8.917;50;;;;3
2298;1927;6;26;1;2;4;4;6;44.4;34.4;40;0.7;;-;2
2299;1927;9;11;2;1;4;4;6.8;44.4;34.5;40;1;;;2
1946;1963;10;12;1;2;0;4;7.1;44.426;149.272;86;0.12;;-;-2
2296;1905;10;4;2;2;;4;5.1;44.5;37.5;40;0.5;;-;2
1460;1918;11;8;4;3;;4;7.8;44.5;151.5;86;0.5;;1;2
1884;1958;11;6;2;5;8;4;8.3;44.53;148.54;86;5;;2;2.5
3127;1624;3;19;;;;2;;44.6;11.8;50;;;;3
930;1863;9;20;;;;3;6.4;44.6;141.5;85;;;;0
1586;1927;11;21;2;1;2;3;7.1;-44.6;-73;89;;;1;2
2257;1995;12;3;1;1;8;4;7.9;44.663;149.3;86;1.1;;0;0.5
1970;1965;6;11;3;3;2;4;7.2;44.7;148.7;86;0.1;;-;-3
3225;1818;12;9;;;;2;;44.75;10.4;50;;;;3
2294;1869;10;11;1;;;1;5.6;44.75;35;40;;;;3
2302;1966;7;12;1;5;;4;5.5;44.75;37;40;0.2;;;1
1947;1963;10;13;5;1;5;4;8.5;44.772;149.798;86;4.5;;2;2.5
1948;1963;10;20;0;5;1;4;7.9;44.772;150.563;86;15;;3;3
3220;1809;7;3;;;;2;;44.8;7.2;50;;;;3
3290;1828;10;9;1;1;;2;;44.8;9.2;50;;;;3
3219;1808;4;2;1;4;;2;5.7;44.833;7.25;50;0.15;;;2
2289;1615;6;5;;;;4;5.7;44.9;35.5;40;1;;;2
2084;1976;1;21;1;5;2;4;7;44.915;149.123;86;0.38;;-;-2.5
2101;1978;3;23;3;1;2;4;7.5;44.932;148.439;86;0.3;;-;0
524;1780;6;29;;;;4;7.5;45.3;151.2;86;12;;3;3
3214;1802;1;4;7;;;2;;45.3;14.4;50;;;;3
3296;1838;8;10;2;3;;2;;45.3;14.5;50;;;;3
3111;1321;;;;;;2;;45.4;12.3;50;;;;3
62;792;4;30;;;;1;;45.5;11;50;;;;3
98;1106;3;;;;;-1;;45.5;12.3;50;;;;3
1457;1918;9;7;1;1;;4;8.2;45.5;151.5;86;12;;3;3
2206;1991;12;22;8;4;1;1;7.6;45.533;151.021;86;0.52;;;0.5
157;1511;3;26;;;;2;6.5;46.2;13.433;50;;;;3
2039;1971;9;8;1;5;5;4;6.2;46.3;140.9;86;0.07;;-;-3
2038;1971;9;8;1;4;2;4;6.6;46.4;141.1;86;0.09;;;-3
2041;1971;9;27;1;1;4;4;6;46.4;141.1;86;0.03;;;-4
3115;1348;1;25;2;;;2;;46.6;13.8;50;;;;3
1960;1964;7;24;8;1;3;4;6.8;47.159;153.876;86;0.08;;-;-2
1881;1958;9;17;1;2;;2;5;48.6;156.1;86;0.23;;-;-1
1657;1933;1;8;1;;;4;6;49.12;154.508;86;9;;3;2
1763;1946;6;23;1;1;1;4;7.3;49.87;-124.92;88;9;;4;2
799;1852;11;25;2;4;;4;8.3;-5.25;129.75;83;8;;3;2.5
1704;1938;2;1;1;4;1;4;8.5;-5.25;130.5;83;1;;1;1.5
706;1837;9;29;;;;2;7.3;5.5;96;60;;;;0.5
1456;1918;8;15;1;1;1;4;8.3;5.5;123;84;7.2;;2;2.5
1502;1922;7;8;;;;1;;5.5;95.2;60;;;;0
1988;1967;4;12;4;5;5;3;6.1;5.5;97.3;60;;;1;1.5
869;1857;4;17;;;;4;8;-5.5;147;82;;;;1.5
887;1859;9;25;;;;2;6.8;-5.5;130.5;83;;;1;0.5
1049;1873;;;;;;3;8;-5.5;146;82;;;1;2
1799;1949;10;19;2;0;1;4;7.5;-5.5;154;82;0.3;;-;-1
2034;1971;7;14;6;1;2;4;7.9;-5.5;153.9;82;6;;1;1
1175;1888;3;13;;;;4;;-5.52;148.121;82;15;;3;3.5
2250;1995;8;16;1;2;2;4;7.7;-5.799;154.178;82;0.6;;-;-1.5
1956;1964;4;2;1;1;5;3;7;5.8;95.4;60;;;-;0
1967;1965;3;30;2;2;3;4;7.6;50.32;177.93;87;0.1;;-;-1
2059;1973;2;28;6;3;4;4;7.2;50.5;156.6;86;1.5;;0;0.5
412;1737;10;16;1;0;;4;;51.1;158;86;64;;4;4
2218;1993;6;8;1;3;3;4;7.5;51.218;157.829;86;0.1;;-;-0.5
2031;1971;5;2;6;8;2;4;7.1;51.228;-177.173;87;0.04;;;-3
1964;1965;2;4;5;1;2;4;8.7;51.29;178.55;87;10.7;;3;2.5
1867;1957;3;9;1;2;3;4;8.6;51.292;-175.629;87;22.8;;3;3
2264;1996;6;10;1;2;5;4;7.3;51.478;-176.847;87;0.18;;-;-1.5
421;1742;11;18;;;;3;7;51.5;157;86;;;1;1.5
2263;1996;6;10;4;3;3;4;7.9;51.564;-177.632;87;0.51;;;0.5
2222;1993;11;13;1;1;4;4;7;51.934;158.647;86;0.05;;-;-3
1040;1872;8;23;1;6;;4;;52.2;-168.5;87;1.3;;1;0
1890;1959;5;4;7;1;4;4;8.2;52.5;159.5;86;0.2;;1;1
2247;1995;5;27;1;3;5;4;7.1;52.629;142.827;86;0.1;;-;-2
1829;1952;11;4;1;5;2;4;9;52.755;160.057;86;18.4;;4;4
1971;1965;7;2;2;5;3;4;6.5;53.03;-167.55;87;0.08;;-;-2
1762;1946;4;1;1;2;1;4;8.6;53.492;-162.832;87;42;;5;4
631;1820;3;1;;;;2;;54.52;-164.65;87;;;;0.5
654;1825;3;21;;;;-1;;54.77;-164.18;87;;;;0.5
2277;1997;12;5;1;2;5;4;7.8;54.841;162.035;86;8;;0;0.5
2278;1997;12;14;3;3;;3;;54.841;162.035;86;8;;3;2
1696;1936;11;13;1;3;;2;7.3;55.2;164;86;13;;3;2
1517;1923;4;13;1;3;2;4;7.2;56.5;162.5;86;20;;4;3.5
2049;1972;7;30;2;4;1;4;7.6;56.82;-135.685;87;0.1;;-;-2
2016;1969;11;22;2;9;3;4;7.7;57.7;163.6;86;15;;3;3
1880;1958;7;10;6;1;5;4;7.8;58.37;-136.665;87;524.6;;4;5
1694;1936;10;27;1;5;0;4;;58.6;-137.1;87;149.35;;5;4
805;1853;;;;;;4;;58.63;-137.57;87;120;;4;4
4241;1867;5;7;1;;;4;;58.667;6.167;73;;;;3
1143;1883;10;6;1;4;;4;;59.4;-153.4;87;9.14;;3;3
1362;1907;9;24;1;5;0;3;5.5;59.5;-135.5;87;0.7;;-;0
2233;1994;11;4;4;1;;4;;59.5;-135.3;87;7.62;;3;2.5
4242;1966;5;8;;;;4;;59.6;10.633;73;;;;3
5458;1883;5;20;;;;1;;-6.004;106.781;60;;;;1
1180;1889;8;16;;;;2;;-6.05;105.92;60;;;;1
927;1863;3;16;;;;1;;-6.1;106.7;60;;;;0
39;416;;;;;;2;;-6.102;105.423;60;;;2;3.5
1142;1883;8;27;2;5;;4;;-6.102;105.423;60;41;;5;4
1144;1883;10;10;;;;2;;-6.102;105.423;60;;;;0
1145;1884;2;;;;;2;;-6.102;105.423;60;;;;0
392;1722;10;;;;;1;;-6.174;106.829;60;;;;0
2086;1976;8;16;1;1;7;4;8;6.292;124.09;84;9;;2;2.5
912;1861;6;5;;;;2;;-6.3;107.3;60;;;1;1
1949;1963;12;16;1;5;3;2;6.6;-6.4;105.4;60;;;-;0
1512;1923;3;2;1;4;5;3;7.2;6.5;124;84;;;;0.5
1536;1924;4;14;1;2;2;4;8.3;6.5;126.5;84;;;;0.5
643;1823;9;9;;;;2;6.8;-6.5;108.5;60;0.3;;;-1.5
5454;1852;1;9;;;;3;6.5;-6.5;105.5;60;;;;0.5
2040;1971;9;25;4;3;1;2;7;-6.5;146.6;82;1.8;;0;0.5
2076;1975;7;20;1;3;3;4;7.9;-6.59;155.054;82;2;;1;1
2014;1969;8;2;4;3;2;4;5.4;-6.6;146.9;82;;;;-1
1238;1897;3;15;;;;2;5.5;-6.8;120.8;60;;;;1
1907;1960;11;20;2;1;5;3;6.8;-6.8;-80.7;89;9;;3;4
285;1659;11;11;;;;2;;-6.92;129.125;83;1.5;;;0
1399;1911;9;22;5;1;2;1;6.9;60.5;-149;87;;;;0.5
1954;1964;3;28;3;3;1;4;9.2;61.017;-147.648;87;67.1;;6;3.5
4247;1998;3;19;1;3;;4;;61.183;5.267;73;6;;;4
4248;1983;8;18;9;;;4;;61.233;7.717;73;7;;;4
4249;1994;4;28;1;3;;4;;61.267;6.583;73;4;;;4
4243;1880;4;14;;;;3;;62.083;7.117;73;;;;3
4237;1987;2;21;7;4;;4;;62.2;6.65;73;3;;;2
4252;1731;1;8;;;;4;;62.333;6.967;73;;;;6
4238;1938;3;;;;;4;;62.333;6.967;73;;;;2
4253;1756;2;;;;;4;;62.767;7.9;73;;;;6
4244;1930;5;2;;;;4;;63.317;9.85;73;;;;3
4245;1888;4;23;;;;3;;63.433;10.383;73;;;;3
4239;1952;1;9;8;;;4;;64.883;12.417;73;2;;;2
4246;1979;10;6;;;;4;;65.117;12.333;73;2;;;3
4240;1940;8;31;7;;;4;;65.883;13.167;73;;;;2
4254;1810;;;;;;4;;69.433;20.15;73;;;;6
4250;1959;5;7;;;;4;;69.817;20.917;73;;;;4
1730;1939;1;30;2;1;3;2;7.7;-7.08;155.386;82;;;0;1
729;1843;2;7;;;;1;6;-7.2;114;60;;;;0
2064;1974;2;1;3;1;3;4;7.1;-7.4;155.6;82;4.5;;2;2
1290;1902;8;21;1;1;;1;7.3;7.5;123.5;84;;;;2
2063;1974;1;31;2;3;5;4;7;-7.5;155.9;82;1.5;;2;1
1318;1904;9;7;;;;1;;-7.7;109;60;;;;0
613;1815;4;10;;;;4;;-8.2;118;60;3.5;;2;1.5
695;1836;3;5;;;;2;;-8.3;118.7;60;;;;0.5
701;1836;11;28;;;;2;7.5;-8.3;118.7;60;;;;0.5
1607;1928;8;4;;;;4;;-8.32;121.708;60;10;;3;3
1942;1963;3;30;;;;2;;8.342;115.508;83;;;;2
1219;1895;3;6;8;3;;4;7.3;-8.4;150.1;82;6;;2;2
2245;1995;5;14;1;3;2;4;6.9;-8.452;125.049;60;4;;2;1.5
2214;1992;12;12;5;2;2;4;7.8;-8.48;121.896;60;26.2;;4;2.7
824;1854;8;4;;;;2;7.2;8.5;-83;88;;;;1.5
825;1854;8;7;;;;2;7.2;8.5;-83;88;;;;1.5
1546;1924;8;30;3;4;7;2;7.3;8.5;126.5;84;;;;0.5
1617;1929;6;13;9;2;3;2;7.2;8.5;127;84;;;;0.5
1749;1941;12;6;2;2;4;4;6.9;8.5;-84;88;0.1;;-;-4
861;1856;7;25;;;;2;;-8.5;116;60;;;;0
1748;1941;12;5;2;4;5;4;7.6;8.7;-83.2;88;0.23;;-;-3
2205;1991;10;14;1;5;1;4;7.2;-9.094;158.442;82;0.15;;-;-2.5
1020;1871;4;30;;;;1;;9.203;124.673;84;;;;2
1733;1939;4;30;2;5;2;3;7.9;-9.295;159.234;82;10.5;;3;1.5
1522;1923;7;18;2;2;1;1;5.5;9.3;125;84;;;0;1
1554;1925;5;5;1;6;6;2;6.8;9.3;122.7;84;;;;0.5
1904;1960;6;11;1;1;9;3;6.6;-9.4;152.3;82;;;-;0
2261;1996;2;21;1;5;1;4;7.5;-9.593;-79.587;89;5.1;;2;1.9
1572;1926;9;16;1;5;1;4;6.9;-9.674;159.519;82;2;;1;1.5
2089;1977;4;20;2;1;1;4;6.8;-9.828;163.323;82;0.15;;-;-1
2090;1977;4;21;4;2;9;4;8.1;-9.965;160.731;82;0.04;;-;-1.5
